name;rating;convenience;security;functionality;comment
Тоннель 30;2.8;4;1;5;Это здание построено из стандартных строительных материалов.
Лифт 59;2.3;1;2;3;У этого здания отличная архитектура.
Парк 16;3.6;3;2;2;У этого здания отличная архитектура.
Эскалатор 93;2.3;1;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Верфь 31;0.2;5;4;5;Это здание не имеет особых архитектурных особенностей.
Эскалатор 93;2.1;2;4;1;Это здание не имеет особых архитектурных особенностей.
Логово 62;0.8;1;5;3;Это здание представляет собой типичный образец современной архитектуры.
Гнездо 84;0.1;3;5;4;Это здание не имеет особых архитектурных особенностей.
ТЭЦ 23;1.9;3;5;5;Это здание является примером функционального дизайна.
Склад 16;3.9;5;3;3;Это здание является примером функционального дизайна.
Верфь 31;0.6;1;1;4;Это здание представляет собой типичный образец современной архитектуры.
Электростанция 69;2.8;2;3;4;Это здание не имеет особых архитектурных особенностей.
Порт 13;1.2;5;5;1;Это здание не имеет особых архитектурных особенностей.
Академия 42;2.0;5;3;3;Это здание построено из стандартных строительных материалов.
Логово 62;2.4;5;4;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Логово 62;0.9;2;1;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Дуплянка 63;2.3;5;2;5;Это здание является примером функционального дизайна.
Улей 94;4.4;4;5;4;Это здание имеет стандартную конструкцию.
Овчарня 67;2.8;1;1;2;Это здание прекрасно вписывается в окружающий ландшафт.
Тоннель 30;4.4;4;3;5;Это здание представляет собой типичный образец современной архитектуры.
Паутинник 25;4.1;5;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Верблюжатник 30;1.0;3;2;5;Это великолепное здание!
Электростанция 69;1.0;1;1;3;Это здание построено из стандартных строительных материалов.
Пандус 35;2.1;4;5;3;Мне нравится дизайн этого здания.
Склад 16;3.8;5;3;2;У этого здания отличная архитектура.
Курятник 51;4.8;1;3;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Паутинник 25;3.7;2;3;1;Это здание не имеет особых архитектурных особенностей.
Дуплянка 85;2.7;4;3;5;Мне нравится дизайн этого здания.
Автомойка 76;2.4;4;2;5;Это здание очень функционально.
Больница 12;0.1;5;2;1;Это здание имеет стандартную конструкцию.
Мануфактура 89;1.0;1;5;5;Это здание очень функционально.
Страусятник 52;0.3;4;1;4;Это здание построено из стандартных строительных материалов.
Ресторан 74;4.5;3;3;3;Это здание очень функционально.
Лестница 83;4.2;4;3;4;Это здание имеет стандартную конструкцию.
Кафе 87;2.7;2;5;2;Это здание построено из стандартных строительных материалов.
Улей 14;2.6;1;4;4;Это здание построено из стандартных строительных материалов.
Цирк 63;3.9;4;1;4;Это здание представляет собой типичный образец современной архитектуры.
Ферма 7;2.6;5;3;3;Это здание не имеет особых архитектурных особенностей.
Стадион 64;0.5;3;2;2;Это здание не имеет особых архитектурных особенностей.
Гнездо 84;4.8;2;2;5;Это великолепное здание!
Замок 46;4.7;4;5;2;Это здание очень функционально.
Школа 1;4.8;4;1;4;Мне нравится дизайн этого здания.
Волчатник 89;0.6;3;5;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Шале 48;3.8;2;5;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
